Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram(GB);Memory;Gpu;OpSys;Weight (Kg);Price_euros
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5;89600
Chuwi;"LapBook 15.6""";Notebook;156;Full HD 1920x1080;Intel Atom x5-Z8300 1.44GHz;4;64GB Flash Storage;Intel HD Graphics;Windows 10;1.89;24499
Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;14;1366x768;AMD E-Series E2-6110 1.5GHz;2;32GB Flash Storage;AMD Radeon R2;Windows 10;1.65;19900
HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;173;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;500GB HDD;AMD Radeon 530;Windows 10;2.71;43900
Dell;XPS 13;Ultrabook;133;Touchscreen / Quad HD+ 3200x1800;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1.2;186900
Apple;MacBook Air;Ultrabook;133;1440x900;Intel Core i5 1.6GHz;8;256GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35;99800
Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44;24900
Acer;Aspire 3;Notebook;156;1366x768;Intel Core i3 7130U 2.7GHz;4;1TB HDD;Intel HD Graphics 620;Linux;2.1;36700
Dell;Inspiron 5770;Notebook;173;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8;97900
HP;250 G6;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Intel HD Graphics 620;Windows 10;1.86;48869
HP;ProBook 450;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.1;87900
Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 620;Linux;2;38900
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65;149900
Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;Nvidia GeForce 940MX;Linux;2.3;52299
Acer;Aspire A515-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4;256GB SSD;Intel UHD Graphics 620;Windows 10;2.2;68200
Dell;Inspiron 7773;2 in 1 Convertible;173;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;12;1TB HDD;Nvidia GeForce 150MX;Windows 10;2.77;99900
Apple;MacBook Pro;Ultrabook;133;IPS Panel Retina Display 2560x1600;Intel Core i5 2.0GHz;8;256GB SSD;Intel Iris Graphics 540;macOS;1.37;141900
Lenovo;IdeaPad 320-15ISK;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;No OS;2.2;36900
Asus;Rog Strix;Gaming;173;Full HD 1920x1080;AMD Ryzen 1700 3GHz;8;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2;129900
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;AMD Radeon R5 M430;Windows 10;2.3;63900
Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;173;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8;46600
Lenovo;Yoga Book;2 in 1 Convertible;101;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4;64GB Flash Storage;Intel HD Graphics 400;Android;0.69;31900
Acer;Aspire A515-51G;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce MX150;Windows 10;2.2;84100
HP;255 G6;Notebook;156;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86;39849
HP;ProBook 430;Notebook;133;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49;110300
Acer;Aspire 3;Notebook;156;1366x768;Intel Core i3 7100U 2.4GHz;4;1TB HDD;Intel HD Graphics 620;Windows 10;2.4;38400
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 520;Windows 10;2.13;76780
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;128GB SSD;Intel HD Graphics 520;Windows 10;1.91;43900
Asus;VivoBook Max;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;2;58619
MSI;GS73VR 7RG;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.43;244900
Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;Intel HD Graphics 520;Linux;2;41500
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8;129900
Dell;Vostro 5471;Ultrabook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.7;87900
Lenovo;IdeaPad 520S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;No OS;1.7;59900
Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.4;94100
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.86;69000
Asus;ZenBook Pro;Ultrabook;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;1.8;198300
HP;250 G6;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;500GB HDD;AMD Radeon 520;Windows 10;1.86;43869
HP;Stream 14-AX040wm;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;32GB SSD;Intel HD Graphics 400;Windows 10;1.44;22900
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Intel HD Graphics 620;Windows 10;1.9;54900
Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;1TB HDD;Nvidia GeForce GTX 1050 Ti;Linux;3;94900
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10 S;1.252;108900
Dell;Inspiron 5370;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 530;Windows 10;1.4;95500
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;AMD Radeon 530;Windows 10;2.2;87000
MSI;GL72M 7RDX;Gaming;173;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7;109500
Acer;Aspire E5-475;Notebook;14;1366x768;Intel Core i3 6006U 2GHz;8;1TB HDD;Intel HD Graphics 520;Windows 10;2.1;38900
Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2;94900
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;2TB HDD;Intel HD Graphics 620;No OS;2.2;51900
Dell;Inspiron 5570;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;128GB SSD +  1TB HDD;Intel UHD Graphics 620;Windows 10;2.02;85500
Acer;Aspire A515-51G-32MX;Notebook;156;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2;53000
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5;97700
Dell;Latitude 5590;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.88;109616
Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core i5 1.3GHz;8;512GB SSD;Intel HD Graphics 615;macOS;0.92;151000
HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.63;86000
Lenovo;IdeaPad 320-15AST;Notebook;156;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4;128GB SSD;AMD R4 Graphics;Windows 10;2.2;39900
Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;1TB HDD;AMD Radeon R5;Windows 10;2.1;39500
Dell;Inspiron 7577;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.65;134900
HP;Pavilion 15-CK000nv;Ultrabook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce GTX 940MX;Windows 10;1.83;69900
HP;250 G6;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.96;59899
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.2;144900
Dell;XPS 13;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21;164900
Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;156;Full HD 1920x1080;AMD FX 9830P 3GHz;8;1TB HDD;AMD Radeon RX 560;Windows 10;2.45;69900
Acer;Aspire 5;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;1TB HDD;Nvidia GeForce MX150;Windows 10;2.2;68900
HP;Probook 430;Notebook;133;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49;119700
Dell;Inspiron 7577;Gaming;156;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;2.65;119500
Asus;Zenbook UX430UA;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.25;104900
Acer;Spin 5;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.5;84700
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;1TB HDD;AMD Radeon R5 M430;Linux;2.2;59990
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256GB SSD;AMD Radeon R5 M430;Linux;2.2;48500
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;156;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;6;256GB SSD;Nvidia GeForce 920M;Windows 10;2;57700
HP;Omen 15-ce007nv;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62;124900
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;156;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;AMD Radeon 530;Windows 10;1.91;71900
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;156;Full HD 1920x1080;AMD E-Series E2-9000e 1.5GHz;4;500GB HDD;AMD Radeon R2;Windows 10;2.1;34900
Dell;Inspiron 3576;Notebook;156;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;AMD Radeon 520;Linux;2.2;64700
HP;Envy 13-ad009n;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce MX150;Windows 10;1.38;111900
Microsoft;Surface Laptop;Ultrabook;135;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10 S;1.252;134000
HP;Pavilion 14-BK001nv;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.58;65900
Lenovo;Ideapad 310-15ISK;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 520;Windows 10;1.85;41490
Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.3;119300
MSI;GP62M 7REX;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2;129900
Lenovo;Thinkpad T470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.58;148000
Asus;VivoBook S15;Ultrabook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce MX150;Windows 10;1.5;126200
Dell;XPS 13;Ultrabook;133;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7560U 2.4GHz;8;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.23;137900
Lenovo;ThinkPad Yoga;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Intel HD Graphics 620;Windows 10;1.37;139900
HP;Probook 440;Notebook;14;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;4;500GB HDD;Intel UHD Graphics 620;Windows 10;1.63;72200
Dell;XPS 13;Ultrabook;133;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21;162900
HP;Spectre x360;2 in 1 Convertible;133;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.26;139899
HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;512GB SSD;Intel UHD Graphics 620;Windows 10;1.63;108400
Dell;Inspiron 7570;Notebook;156;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.16;113033
Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;173;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;Nvidia GeForce 920MX;Windows 10;2;56400
Asus;VivoBook S15;Notebook;156;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7;111800
Acer;Spin 3;Notebook;156;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;6;1TB HDD;Intel HD Graphics 620;Windows 10;2.1;47900
MSI;GS63VR 7RG;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;1.8;224150
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8;256GB SSD;Nvidia GeForce 940MX;No OS;2.2;62900
HP;Probook 470;Notebook;173;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5;127100
Acer;Aspire 3;Notebook;156;1366x768;AMD A9-Series 9420 3GHz;4;256GB SSD;AMD Radeon R5;Windows 10;2.1;45100
HP;250 G6;Notebook;156;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4;500GB HDD;Intel HD Graphics 400;No OS;1.86;25900
HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;1TB HDD;Intel UHD Graphics 620;Windows 10;1.63;81200
Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;14;1366x768;AMD E-Series 6110 1.5GHz;4;64GB SSD;AMD Radeon R2;Windows 10 S;1.65;27799
Dell;Inspiron 5770;Notebook;173;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8;139600
HP;ProBook 470;Notebook;173;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;2.5;92800
Dell;Inspiron 5567;Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;8;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36;63899
Dell;Inspiron 3567;Notebook;156;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2;44900
Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6;88400
Acer;Aspire A515-51G-37JS;Notebook;156;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;256GB SSD;Nvidia GeForce MX130;Windows 10;2.2;57200
HP;15-BS078nr (i7-7500U/8GB/1TB/W10);Notebook;156;1366x768;Intel Core i7 7500U 2.7GHz;8;1TB HDD;Intel HD Graphics 620;Windows 10;2.05;59800
HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.63;98800
Lenovo;V110-15IAP (N3350/4GB/1TB/No;Notebook;156;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;No OS;1.9;25236
Asus;FX753VD-GC086T (i5-7300HQ/8GB/1TB;Gaming;173;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3;93800
Lenovo;IdeaPad 320-15IKBN;Notebook;156;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;1TB HDD;Nvidia GeForce 920MX;No OS;2.2;49900
HP;Envy 13-AD007nv;Notebook;133;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4;256GB SSD;Intel HD Graphics 620;Windows 10;1.32;69900
Acer;Aspire 5;Notebook;173;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4;1TB HDD;Nvidia GeForce MX130;Windows 10;3;65500
Lenovo;ThinkPad E480;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256GB SSD;AMD Radeon RX 550;Windows 10;1.75;111602
Lenovo;Legion Y520-15IKBN;Gaming;156;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;256GB SSD;Nvidia GeForce GTX 1050M;No OS;2.4;86900
Toshiba;Satellite Pro;Notebook;156;1366x768;Intel Core i5 6200U 2.3GHz;4;500GB HDD;Intel HD Graphics 520;Windows 10;2.1;60200
HP;255 G6;Notebook;156;1366x768;AMD A6-Series 9220 2.5GHz;4;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86;36900
Asus;ZenBook UX430UA;Ultrabook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8;256GB SSD;Intel UHD Graphics 620;Windows 10;1.25;109900
HP;EliteBook Folio;Ultrabook;125;IPS Panel 4K Ultra HD / Touchscreen 3840x2160;Intel Core M 6Y75 1.2GHz;8;512GB SSD;Intel HD Graphics 515;Windows 10;0.97;201400
Asus;X541NA (N3350/4GB/1TB/FHD/W10);Notebook;156;Full HD 1920x1080;Intel Celeron Dual Core N3350 1.1GHz;4;1TB HDD;Intel HD Graphics 500;Windows 10;2;34400
MSI;GE72MVR 7RG;Gaming;173;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9;202900
Acer;Aspire A315-51;Notebook;156;1366x768;Intel Core i3 6006U 2GHz;4;1TB HDD;Intel HD Graphics 520;Windows 10;2.1;44700
Dell;Inspiron 5577;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.56;124926
Dell;Inspiron 7567;Gaming;156;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8;1.0TB Hybrid;Nvidia GeForce GTX 1050;Windows 10;2.62;89900
Lenovo;V110-15IKB (i5-7200U/4GB/128GB/W10);Notebook;156;1366x768;Intel Core i5 7200U 2.5GHz;4;128GB SSD;Intel HD Graphics 620;Windows 10;1.9;49800
